date,d feed iron %,d feed silica %,u starch m3/h,u amina m3/h,d feed m3/h,d feed ph,d feed SG,x C01.air.flow Nm3/h,x C02.air.flow Nm3/h,x C03.air.flow Nm3/h,x C04.air.flow Nm3/h,x C05.air.flow Nm3/h,x C06.air.flow Nm3/h,x C07.air.flow Nm3/h,x C01.froth.depth mm,x C02.froth.depth mm,x C03.froth.depth mm,x C04.froth.depth mm,x C05.froth.depth mm,x C06.froth.depth mm,x C07.froth.depth mm,y product iron %,y product silica %
2017-04-12 00:20:00,57.91,10.54,2226.5200000000004,561.3275,401.602,9.93971,1.728965,249.879,248.594,250.173,296.47086143695003,304.74631235740003,250.2625,249.865,608.4425,599.2729999999999,605.2145,449.0,449.2275,452.324,436.7975,65.5048336414,2.5127171904
2017-04-12 00:40:00,57.91,10.54,2825.04,563.819,400.049,9.8746,1.767795,250.0635,250.3865,249.98,296.4649670088,304.70482322565,250.182,249.8385,598.3779999999999,599.0174999999999,601.2465,460.222,450.5875,463.943,454.4645,65.5347781885,2.6236229205
2017-04-12 01:00:00,52.75,18.87,2484.38,567.0385,398.7665,9.75491,1.772005,250.151,248.992,250.062,296.45907258065,304.6633340939,250.16,250.016,597.6325,597.0575,599.4645,456.3265,452.7945,453.678,459.4275,65.55,2.68
2017-04-12 01:20:00,52.75,18.87,273.0158701923,570.1575,401.9075,9.62792,1.770705,248.8785,249.533,249.89,296.4531781525,304.62184496215,250.269,249.5955,600.3009999999999,599.5195,602.88,441.913,447.0305,450.2745,449.6015,65.4387845304,2.6698895027500003
2017-04-12 01:40:00,52.75,18.87,484.33052403845,561.6885,398.0175,9.47256,1.76562,249.5145,251.947,250.163,296.44728372435,304.58035583045,250.1765,249.586,603.9780000000001,600.887,600.9775,447.774,452.2005,450.5905,449.239,65.4387845304,2.6698895027500003
2017-04-12 02:00:00,52.75,18.87,968.774,543.827,398.438,9.27217,1.7443749999999998,248.9655,249.211,249.4875,296.4413892962,304.5388666987,249.829,249.812,599.678,600.3109999999999,601.054,455.109,448.1235,454.7515,453.322,65.4387845304,2.6698895027500003
2017-04-12 02:20:00,52.75,18.87,1810.13,530.729,401.4335,9.142775,1.714805,247.0345,250.641,249.829,296.43549486805,304.49737756695004,245.3155,250.081,602.69,600.2860000000001,601.2175,447.445,448.1155,448.939,450.1685,65.22,2.65
2017-04-12 02:40:00,52.75,18.87,2427.075,543.3895,400.236,9.16221,1.74097,252.686,250.376,250.2385,296.42960043985,304.4558884352,250.145,250.204,602.2535,599.332,600.727,441.4755,450.8115,454.2375,447.913,65.0012154696,2.63011049725
2017-04-12 03:00:00,52.75,18.87,2639.78,566.6605,401.6495,9.481045,1.7655949999999998,251.3775,250.8025,249.856,296.42370601175,304.41439930344995,253.42,249.782,602.375,600.928,602.139,464.1615000000001,449.5645,452.9495,460.3285,64.89,2.62
2017-04-12 03:20:00,52.75,18.87,2634.325,572.5135,399.669,9.651615,1.775235,249.5605,249.3705,250.178,296.41781158355,304.37291017175005,250.344,248.86,600.6735,600.5605,600.1295,451.6465,446.3935,454.8915,450.6565000000001,62.84,5.27
2017-04-12 03:40:00,52.75,18.87,2506.525,562.5954999999999,400.036,9.721725,1.77999,249.607,248.7715,250.5,296.41191715545,304.33142104,250.2065,249.715,599.547,597.4355,597.99,451.2275,448.73,451.742,451.259,62.84,5.27
2017-04-12 04:00:00,52.75,18.87,2612.955,557.3895,399.605,9.777725,1.774185,250.488,249.4,249.829,296.40602272725005,304.28993190825,250.0465,249.2525,601.977,601.2155,600.5675,445.8565,449.034,453.061,448.7075,62.84,5.27
2017-04-12 04:20:00,52.75,18.87,2533.94,549.2795,398.2405,9.8354,1.76425,249.9535,248.92,249.96,296.40012829915,304.2484427765,250.125,249.389,601.2004999999999,601.332,601.8595,456.963,456.264,453.381,459.1565,63.0152486188,5.0593646409
2017-04-12 04:40:00,52.75,18.87,2622.24,549.3565000000001,398.9505,9.894100000000002,1.76086,250.229,249.462,249.609,296.39423387095,304.20695364475,249.9285,250.3795,600.8855000000001,600.2764999999999,600.4995,434.639,444.02,464.282,448.6735,63.0152486188,5.0593646409
